баз 1922, сайтов 389498, вышли в поиск 51370 (13.2%)
пулов «пак + день» по пять и больше баз: 122, в них баз 1782

content-2026-09-12-7str-oform · 2026-09-12 · баз 78 · сайтов 16067 · выход3 6.5% · рег 6
  домен              зона      сайтов  выход3   кликов 2-я волна   рег
  1978.lol           lol          206   26.2%     1090        56     2
  casinonb.lol       lol          206   23.8%       68        56     0
  538casino.team     team         206   22.3%      510        56     0
  5420.team          team         206   17.5%       65        56     0
  2272.team          team         206   17.0%      141        56     0
  h1s.lol            lol          206   17.0%       69        56     0
  2815.team          team         206   16.5%       74        56     1
  y3z5.team          team         206   16.0%      139        56     0
  bzcasino.team      team         206   16.0%      838        56     0
  opue.team          team         206   15.5%      328        56     0
  7817.team          team         206   15.5%       69        56     0
  5255.lol           lol          206   13.6%      522        56     0
  yciu.lol           lol          206   12.6%       54        56     0
  lvcasino.lol       lol          206   12.6%      107        56     0
  6100.lol           lol          206   12.6%      492        56     0
  5863.team          team         206   11.7%       39        56     0
  9747.team          team         206   10.7%       18        56     0
  nztj.team          team         206   10.2%       58        56     0
  9058.team          team         206   10.2%       61        56     0
  n2m.team           team         206    8.7%      171        56     0
  x5j.lol            lol          206    8.7%       25        56     0
  casinodh.lol       lol          206    8.7%      486        56     0
  emot.team          team         206    8.3%       32        56     0
  5368casino.team    team         206    8.3%       25        56     0
  nkrh.team          team         206    7.8%       36        56     0
  d8c3.team          team         206    7.8%       19        56     0
  4457.lol           lol          206    7.3%       16        56     0
  7163.lol           lol          206    6.8%       34        56     0
  nidcasino.lol      lol          206    6.8%       12        56     0
  6709.team          team         206    6.8%       29        56     0
  casino60.team      team         206    6.3%       47        56     0
  casino50.team      team         206    6.3%       16        56     0
  anpl.lol           lol          206    4.9%       47        56     0
  lkcasino.lol       lol          206    3.9%       58        56     0
  6106.lol           lol          206    1.5%        5        56     0

content-2026-09-14b-7str-oform-2 · 2026-09-15 · баз 34 · сайтов 7003 · выход3 15.2% · рег 6
  домен              зона      сайтов  выход3   кликов 2-я волна   рег
  vecasino.lol       lol          206   33.0%     3409        56     1
  csccasino.team     team         206   30.6%     2175        56     0
  casinoxr.lol       lol          206   28.2%     2805        56     0
  itym.team          team         206   27.7%     1890        56     2
  d5r.team           team         206   26.7%      459        56     0
  3479.team          team         206   25.2%     1545        56     0
  678casino.team     team         206   24.3%      672        56     0
  g5c3.lol           lol          206   19.9%      413        56     0
  nffn.team          team         206   18.0%      574        56     0
  ttbz.team          team         206   17.5%      102        56     0
  8531.team          team         206   17.0%      479        56     0
  diii.team          team         206   17.0%      718        56     0
  2159casino.team    team         206   16.5%     1164        56     1
  1014.lol           lol          206   16.5%      228        56     0
  3294casino.team    team         206   16.5%      273        56     0
  lwqm.team          team         206   14.1%      715        56     0
  566casino.team     team         206   14.1%      163        56     0
  4954.team          team         206   14.1%      104        56     0
  3081.team          team         206   13.6%      260        56     0
  2404.lol           lol          206   13.1%      173        56     0
  k3b5.team          team         206   12.1%      107        56     0
  xxhcasino.team     team         206   11.7%      298        56     0
  2837.team          team         206   11.2%      575        56     1
  6715.team          team         206   10.7%       58        56     1
  7497.team          team         206   10.7%     2662        56     0
  9814.team          team         206   10.2%      184        56     0
  7847.team          team         206    8.7%       79        56     0
  b1l2.team          team         206    8.3%      370        56     0
  hmhh.team          team         206    7.8%       32        56     0
  6965.team          team         206    7.8%      111        56     0
  q8k0.team          team         206    7.3%       64        56     0
  0416.team          team         206    4.9%       26        56     0
  5211.team          team         206    1.5%       82        56     0
  casinou5.team      team         205    0.5%      268        55     0

ПАК НЕИЗВЕСТЕН · 2026-08-21 · баз 34 · сайтов 7002 · выход3 20.9% · рег 24
  домен              зона      сайтов  выход3   кликов 2-я волна   рег
  1947.team          team         206   54.4%    44217        56     6
  bnwk.casino        casino       206   52.9%    10539        56     2
  blsr.team          team         206   52.4%    12461        56     2
  2568.team          team         206   43.7%    22858        56     2
  3982.team          team         206   36.9%     6142        56     1
  gnxb.team          team         206   35.4%    12001        56     3
  smzk.lol           lol          206   31.1%     3245        56     2
  hprl.team          team         206   29.1%     5668        56     0
  5297-4.casino      casino       206   27.7%     1561        56     1
  h2x.online         online       206   26.7%     1542        56     0
  vfkd.team          team         205   24.9%     3214        55     0
  1305.team          team         206   23.3%     3014        56     1
  k8n.lol            lol          206   21.8%     2942        56     0
  2214.team          team         206   21.8%      748        56     1
  m5tv.store         store        206   20.4%     5113        56     1
  h3rb.team          team         206   19.4%     2750        56     0
  k9ml.team          team         206   17.5%      549        56     0
  6829.lol           lol          206   17.5%     2942        56     0
  rdwt.lol           lol          206   16.0%     1436        56     0
  qbnv.lol           lol          206   13.6%      905        56     0
  n5wk.team          team         206   12.6%     1535        56     0
  trqm.casino        casino       206   12.6%      759        56     0
  m2vc.team          team         206   12.1%     2113        56     1
  2108io.buzz        buzz         206   12.1%     2346        56     0
  bnkd.shop          shop         206   11.2%     1146        56     1
  v2ld.lol           lol          205   10.7%      890        55     0
  2108ee.buzz        buzz         206    9.2%      297        56     0
  wrfn.cloud         cloud        206    8.7%      642        56     0
  d2wq.team          team         206    8.3%      534        56     0
  c7mt.team          team         206    6.3%      128        56     0
  2108jd.buzz        buzz         206    6.3%       69        56     0
  b4kr.team          team         206    5.8%     3866        56     0
  x284.site          site         206    4.9%      139        56     0
  j6td.team          team         206    3.4%       29        56     0

NEW102оформленобездаты · 2026-09-11 · баз 33 · сайтов 6798 · выход3 12.2% · рег 6
  домен              зона      сайтов  выход3   кликов 2-я волна   рег
  i3d.team           team         206   29.6%     1564        56     0
  casino1009s.casino casino       206   26.7%     2188        56     0
  1109sd.casino      casino       206   23.8%     1030        56     0
  casinos6.lol       lol          206   20.4%     1801        56     0
  5882.team          team         206   20.4%     3348        56     0
  7055.team          team         206   19.4%     1444        56     3
